ITEM DESCRIPTION,FINISH / COLOR,PART NUMBER,SECTION,APPLICATION,MANUFACTURER,VENDOR,STANDARD / OPTION,option type,QTY,PRICE EACH,PRICE TOTAL
Pilot Hatch / Sunroof,Clear,30069900,Final Rigging (TOP) - OPTION,this is always used with towers but not alwyas with t-tops,Lewmar,Lewmar,OPTION,sunroof,1,$641.68,$641.68
Tower Floor,WHITE,BBW00004,Final Rigging (TOP) - OPTION,"W / Upper Station
this acrylic and gets seadeck to cover the screws and anti slip
color dependent",Waterway Systems,Waterway Systems,OPTION,tower,1,$205.00,$205.00
Tower Floor,BLACK,BBW00004,Final Rigging (TOP) - OPTION,"W / Upper Station
this acrylic and gets seadeck to cover the screws and anti slip
color dependent",Waterway Systems,Waterway Systems,OPTION,tower,1,$205.00,$205.00
"LED Light Bar - 18""",WHITE,101586,Final Rigging (TOP) - OPTION,"goes on top between nav lights
usually between front and upperstation
color dependent",Lumitec,Lumitec,OPTION,light bar,1,$512.39,$512.39
"LED Light Bar - 18""",BLACK,101588,Final Rigging (TOP) - OPTION,"goes on top between nav lights
usually between front and upperstation
color dependent",Lumitec,Lumitec,OPTION,light bar,1,$512.39,$512.39
"LED Light Bar - 20""
(Curved Double Row 5W Combo)",WHITE,20CCM-D5OS,Final Rigging (TOP) - OPTION,"goes on top between nav lights
usually between front and upperstation
color dependent",Black Oak,Black Oak,OPTION,light bar,1,$387.75,$387.75
"LED Light Bar - 20""
(Curved Double Row 5W Combo)",BLACK,20CC-D5OS,Final Rigging (TOP) - OPTION,"goes on top between nav lights
usually between front and upperstation
color dependent",Black Oak,Black Oak,OPTION,light bar,1,$387.75,$387.75
"Antenna Cable Connector / Outlet, Shakespear 4184",SS ,SHA4184,Final Rigging (TOP) - OPTION,wire gromment used only with black oak or any non flat mount light bars,CWR Distribution,CWR Distribution,OPTION,light bar,1,$7.17,$7.17
"Antenna - 4' VHF/AIS, 4dB",WHITE,594-MW,Final Rigging (TOP) - OPTION,"goes on hardtop on port side
color dependent",CWR Distribution,CWR Distribution,OPTION,vhf,1,$201.35,$201.35
"Antenna - 4' VHF/AIS, 4dB",BLACK,528-VB,Final Rigging (TOP) - OPTION,"goes on hardtop on port side
color dependent",CWR Distribution,CWR Distribution,OPTION,vhf,1,$195.27,$195.27
"Antenna Cable Connector / Outlet, Shakespear 4184",SS ,SHA4184,Final Rigging (TOP) - OPTION,"W / VHF
grommet that alows wire to pass thru goes near base of antenna",CWR Distribution,CWR Distribution,OPTION,vhf,1,$7.17,$7.17
VHF Coupler Union,Brass,PL-258-CP-G,Final Rigging (TOP) - OPTION,"W/ VHF
allows us to run a seperat wire from the console to the top and make a union with the antenna",CWR Distribution,CWR Distribution,OPTION,vhf,1,$16.45,$16.45
Grans Slam 800 VHF Crank Down Mount,SS ,GS-800,Final Rigging (TOP) - OPTION,"W / VHF
this is thru top mount that you crank
we rarlye use",Navico,Navico,OPTION,vhf,1,$300.00,$300.00
Ratchet Mount,SS ,KJM-M101,Final Rigging (TOP) - OPTION,"W / VHF
this is the traditional mount which we almost aways use",Seawide,Seawide,OPTION,vhf,1,$34.40,$34.40
FLIR M232 Pan & Tilt Thermal Night Vision Camera,White,18300368,Final Rigging (TOP) - OPTION,this goes in front of the top and attatches to the forward pieplate upside down,Teledyne FLIR,Teledyne FLIR,OPTION,flir,1,"$2,159.00","$2,159.00"
Sionyx Nightwave Night Vision Camera,Black,NIGHTWAVE,Final Rigging (TOP) - OPTION,this goes in front of the top and attatches to the forward pieplate upside down,Sionyx,Sionyx,OPTION,night vision,1,"$1,995.00","$1,995.00"
GMR Fantom 18X Radar,WHITE,010-02584-00,Final Rigging (TOP) - OPTION,goes on a custom radar mount built into the upper station seat when tower and if not tower wherever customer want but if in the rear then a custom mount to go over the sunroof it has one will be needed,Garmin,Garmin,OPTION,radar,1,"$1,539.99","$1,539.99"
GMR Fantom 18X Radar,BLACK,010-02584-10,Final Rigging (TOP) - OPTION,goes on a custom radar mount built into the upper station seat when tower and if not tower wherever customer want but if in the rear then a custom mount to go over the sunroof it has one will be needed,Garmin,Garmin,OPTION,radar,1,"$1,609.99","$1,609.99"
GMR Fantom 24X Radar,WHITE,010-02585-00,Final Rigging (TOP) - OPTION,goes on a custom radar mount built into the upper station seat when tower and if not tower wherever customer want but if in the rear then a custom mount to go over the sunroof it has one will be needed,Garmin,Garmin,OPTION,radar,1,"$2,099.99","$2,099.99"
GMR Fantom 24X Radar,BLACK,010-02585-10,Final Rigging (TOP) - OPTION,goes on a custom radar mount built into the upper station seat when tower and if not tower wherever customer want but if in the rear then a custom mount to go over the sunroof it has one will be needed,Garmin,Garmin,OPTION,radar,1,"$2,169.99","$2,169.99"
Radar - Modular Base,White,PMA57M1,Final Rigging (TOP) - OPTION,"W / Radar W / T-Top *NOT TOWER
can only go on top not tower becaus eit goes in the fron where the upperstation would be",Seaview,Seaview,OPTION,radar,1,$250.00,$250.00
Radar - Top Plate for Modular Base,White,ADAR1,Final Rigging (TOP) - OPTION,"W / Radar W / T-Top *NOT TOWER
this goes on that base",Seaview,Seaview,OPTION,radar,1,$140.00,$140.00
Radar HALO24,White,000-14967-001,Final Rigging (TOP) - OPTION,same as garmin options but simrad,Navico,Navico,OPTION,radar,1,"$1,595.43","$1,595.43"
Cable Gland - Medium,White,540732,Final Rigging (TOP) - OPTION,"W / Radar
goes with radar mount seat option to run the power wire on one side and the bluenet and anchor on other side",West Marine ,West Marine ,OPTION,radar,2,$20.86,$41.72
Outriggers - 18' CF,WHITE,OR-DKR-18-W-02,Final Rigging (TOP) - OPTION,goes in the outrigger bases-we typically call them the poles,Gemlux,Gemlux,OPTION,outrigger,1,"$2,439.90","$2,439.90"
Outriggers - 18' Carbon Fiber,BLACK,OR-DKR-18-B-02,Final Rigging (TOP) - OPTION,goes in the outrigger bases-we typically call them the poles,Gemlux,Gemlux,OPTION,outrigger,1,"$1,962.90","$1,962.90"
Deluxe Outrigger Mounts,,OR-BA-12,Final Rigging (TOP) - OPTION,"outrigger bases goes on the hardtop where the mounts are wleded
typically just call them the outriggers",Gemlux,Gemlux,OPTION,outrigger,1,"$1,326.28","$1,326.28"
"Tweeter - JL M6 1"" White / White (Pair Only)",WHITE,010-03379-00,Final Rigging (UPPER STATION) - OPTION,,JL Audio,Garmin,OPTION - OPTION,stero upgrade,1,$91.99,$91.99
"Tweeter - JL M6 1"" Gunmetal / Titanium (Pair Only)",GUNMETAL / TITANIUM,010-03501-00,Final Rigging (UPPER STATION) - OPTION,,JL Audio,Garmin,OPTION - OPTION,stero upgrade,1,$91.99,$91.99
"Speakers - 7.7"" Sport Grill - Gloss White",,010-03531-00,Final Rigging (TOP) - OPTION,"these go on the underside of the hardtop in the front underneath the upperstation cannot be used if no upperstation
color dependent",JL Audio,Garmin,OPTION,stero upgrade,2,$119.30,$238.60
"Speakers - 7.7"" Sport Grill - Gunmetal / Titanium",,010-03530-00,Final Rigging (TOP) - OPTION,"these go on the underside of the hardtop in the front underneath the upperstation cannot be used if no upperstation
color dependent",JL Audio,Garmin,OPTION,stero upgrade,2,$119.30,$238.60
"FRAME, AL KEY WEST HALF TOWER PC MATTERHORN",WHITE,GG04608WHT,Final Rigging (TOP) - OPTION,"Round Pipe T-Top, If 1/2 tower is selected,but no D Pipe Upgrade, this is the top",GG Schmitt,GG Schmitt,OPTION,tower,1,"$4,850.00","$4,850.00"
"FRAME, AL KEY WEST HALF TOWER PC GLOSS",BLACK,GG04608BLK,Final Rigging (TOP) - OPTION,"Round Pipe T-Top, If 1/2 tower is selected,but no D Pipe Upgrade, this is the top",GG Schmitt,GG Schmitt,OPTION,tower,1,"$4,850.00","$4,850.00"
"FRAME, AL KEY WEST HALF TOWER PC TEXT WHITE",TEX WHITE,GG04608TWHT,Final Rigging (TOP) - OPTION,"Round Pipe T-Top, If 1/2 tower is selected,but no D Pipe Upgrade, this is the top",GG Schmitt,GG Schmitt,OPTION,tower,1,"$4,850.00","$4,850.00"
"FRAME, AL KEY WEST HALF TOWER PC TEXT BLACK",TEX BLACK,GG04608TBLK,Final Rigging (TOP) - OPTION,"Round Pipe T-Top, If 1/2 tower is selected,but no D Pipe Upgrade, this is the top",GG Schmitt,GG Schmitt,OPTION,tower,1,"$4,850.00","$4,850.00"
"FRAME, AL KEY WEST HALF TOWER D-PIPE PC MATTERHORN WHITE",WHITE,GG04968WHT,Final Rigging (TOP) - OPTION,"D Pipe T-Top, If 1/2 tower is selected, AND D Pipe Upgrade, this is the top",GG Schmitt,GG Schmitt,OPTION,tower d pipe,1,"$6,775.00","$6,775.00"
"FRAME, AL KEY WEST HALF TOWER D-PIPE PC GLOSS BLACK",BLACK,GG04968BLK,Final Rigging (TOP) - OPTION,"D Pipe T-Top, If 1/2 tower is selected, AND D Pipe Upgrade, this is the top",GG Schmitt,GG Schmitt,OPTION,tower d pipe,1,"$6,775.00","$6,775.00"
"FRAME, AL KEY WEST HALF TOWER D-PIPE PC TEXT WHITE",TEX WHITE,GG04968TWHT,Final Rigging (TOP) - OPTION,"D Pipe T-Top, If 1/2 tower is selected, AND D Pipe Upgrade, this is the top",GG Schmitt,GG Schmitt,OPTION,tower d pipe,1,"$6,775.00","$6,775.00"
"FRAME, AL KEY WEST HALF TOWER D-PIPE PC TEXT BLACK",TEX BLACK,GG04968TBLK,Final Rigging (TOP) - OPTION,"D Pipe T-Top, If 1/2 tower is selected, AND D Pipe Upgrade, this is the top",GG Schmitt,GG Schmitt,OPTION,tower d pipe,1,"$6,775.00","$6,775.00"
"FRAME, AL KEY WEST T-TOP PC MATTERHORN WHITE",WHITE,GG04967WHT,Final Rigging (TOP),"Base T-Top, No 1/2 Tower AND no D Pipe Upgrade",GG Schmitt,GG Schmitt,STANDARD,,1,"$4,375.00","$4,375.00"
"FRAME, AL KEY WEST T-TOP PC GLOSS BLACK",BLACK,GG04967BLK,Final Rigging (TOP),"Base T-Top, No 1/2 Tower AND no D Pipe Upgrade",GG Schmitt,GG Schmitt,STANDARD,,1,"$4,475.00","$4,475.00"
"FRAME, AL KEY WEST T-TOP PC TEXT WHITE",TEX WHITE,GG04967TWHT,Final Rigging (TOP),"Base T-Top, No 1/2 Tower AND no D Pipe Upgrade",GG Schmitt,GG Schmitt,STANDARD,,1,"$4,375.00","$4,375.00"
"FRAME, AL KEY WEST T-TOP PC TEXT BLACK",TEX BLACK,GG04967TBLK,Final Rigging (TOP),"Base T-Top, No 1/2 Tower AND no D Pipe Upgrade",GG Schmitt,GG Schmitt,STANDARD,,1,"$4,375.00","$4,375.00"
"FRAME, AL KEY WEST T-TOP D-PIPE PC MATTERHORN",WHITE,GG04609WHT,Final Rigging (TOP) - OPTION,"Upgrade - No 1/2 Tower, but D-Pipe Upgrade",GG Schmitt,GG Schmitt,OPTION,t-top dpipe,1,"$6,455.00","$6,455.00"
"FRAME, AL KEY WEST T-TOP D-PIPE PC GLOSS BLACK",BLACK,GG04609BLK,Final Rigging (TOP) - OPTION,"Upgrade - No 1/2 Tower, but D-Pipe Upgrade",GG Schmitt,GG Schmitt,OPTION,t-top dpipe,1,"$6,555.00","$6,555.00"
"FRAME, AL KEY WEST T-TOP D-PIPE PC TEXT WHITE",TEX WHITE,GG04609TWHT,Final Rigging (TOP) - OPTION,"Upgrade - No 1/2 Tower, but D-Pipe Upgrade",GG Schmitt,GG Schmitt,OPTION,t-top dpipe,1,"$6,455.00","$6,455.00"
"FRAME, AL KEY WEST T-TOP D-PIPE PC TEXT BLACK",TEX BLACK,GG04609TBLK,Final Rigging (TOP) - OPTION,"Upgrade - No 1/2 Tower, but D-Pipe Upgrade",GG Schmitt,GG Schmitt,OPTION,t-top dpipe,1,"$6,455.00","$6,455.00"
"ROD RACK, AL NO ANCHOR LIGHT MATTERHORN",WHITE,GG03356WHT,Final Rigging (TOP) - OPTION,Upgrade - If Customer gets radar or starlink,GG Schmitt,GG Schmitt,OPTION,radar,1,$865.00,$865.00
"ROD RACK, AL NO ANCHOR LIGHT GLOSS BLACK",BLACK,GG03356BLK,Final Rigging (TOP) - OPTION,Upgrade - If Customer gets radar or starlink,GG Schmitt,GG Schmitt,OPTION,radar,1,$965.00,$965.00
"ROD RACK, AL NO ANCHOR LIGHT TEXT WHITE",TEX WHITE,GG03356TWHT,Final Rigging (TOP) - OPTION,Upgrade - If Customer gets radar or starlink,GG Schmitt,GG Schmitt,OPTION,radar,1,$865.00,$865.00
"ROD RACK, AL NO ANCHOR LIGHT TEXT BLACK",TEX BLACK,GG03356TBLK,Final Rigging (TOP) - OPTION,Upgrade - If Customer gets radar or starlink,GG Schmitt,GG Schmitt,OPTION,radar,1,$865.00,$865.00
"ROD RACK, AL W/ANCHOR LIGHT MATTERHORN WHITE",WHITE,GG03357WHT,Final Rigging (TOP),Base Rod Rack - No Radar or Starlink,GG Schmitt,GG Schmitt,STANDARD,,1,$799.00,$799.00
"ROD RACK, AL W/ANCHOR LIGHT GLOSS BLACK",BLACK,GG03357BLK,Final Rigging (TOP),Base Rod Rack - No Radar or Starlink,GG Schmitt,GG Schmitt,STANDARD,,1,$899.00,$899.00
"ROD RACK, AL W/ANCHOR LIGHT TEXT WHITE",TEX WHITE,GG03357TWHT,Final Rigging (TOP),Base Rod Rack - No Radar or Starlink,GG Schmitt,GG Schmitt,STANDARD,,1,$799.00,$799.00
"ROD RACK, AL W/ANCHOR LIGHT TEXT BLACK",TEX BLACK,GG03357TBLK,Final Rigging (TOP),Base Rod Rack - No Radar or Starlink,GG Schmitt,GG Schmitt,STANDARD,,1,$799.00,$799.00
"SEAT, AL WIDE UPPER HELM MATTERHORN WHITE",WHITE,GG03365WHT,Final Rigging (TOP) - OPTION,Half Tower Option with NO RADAR OR STARLINK,GG Schmitt,GG Schmitt,OPTION,helm seat,1,$935.00,$935.00
"SEAT, AL WIDE UPPER HELM GLOSS BLACK",BLACK,GG03365BLK,Final Rigging (TOP) - OPTION,Half Tower Option with NO RADAR OR STARLINK,GG Schmitt,GG Schmitt,OPTION,helm seat,1,"$1,035.00","$1,035.00"
"SEAT, AL WIDE UPPER HELM TEXT WHITE",TEX WHITE,GG03365TWHT,Final Rigging (TOP) - OPTION,Half Tower Option with NO RADAR OR STARLINK,GG Schmitt,GG Schmitt,OPTION,helm seat,1,$935.00,$935.00
"SEAT, AL WIDE UPPER HELM TEXT BLACK",TEX BLACK,GG03365TBLK,Final Rigging (TOP) - OPTION,Half Tower Option with NO RADAR OR STARLINK,GG Schmitt,GG Schmitt,OPTION,helm seat,1,$935.00,$935.00
"SEAT, AL WIDE UPPER HELM SEAT W/RADAR AND ANCHOR LIGHT MATTERHORN WHITE",WHITE,GG03362WHT,Final Rigging (TOP) - OPTION,Half Tower Option WITH RADAR,GG Schmitt,GG Schmitt,OPTION,helm seat/ radar,1,"$1,075.00","$1,075.00"
"SEAT, AL WIDE UPPER HELM SEAT W/RADAR AND ANCHOR LIGHT GLOSS BLACK",BLACK,GG03362BLK,Final Rigging (TOP) - OPTION,Half Tower Option WITH RADAR,GG Schmitt,GG Schmitt,OPTION,helm seat/ radar,1,"$1,175.00","$1,175.00"
"SEAT, AL WIDE UPPER HELM SEAT W/RADAR AND ANCHOR LIGHT TEXT WHITE",TEX WHITE,GG03362TWHT,Final Rigging (TOP) - OPTION,Half Tower Option WITH RADAR,GG Schmitt,GG Schmitt,OPTION,helm seat/ radar,1,"$1,075.00","$1,075.00"
"SEAT, AL WIDE UPPER HELM SEAT W/RADAR AND ANCHOR LIGHT TEXT BLACK",TEX BLACK,GG03362TBLK,Final Rigging (TOP) - OPTION,Half Tower Option WITH RADAR,GG Schmitt,GG Schmitt,OPTION,helm seat/ radar,1,"$1,075.00","$1,075.00"
"SEAT, AL WIDE UPPER HELM SEAT W/STARLINK MOUNT PC MATTERHORN WHITE",WHITE,GG05050WHT,Final Rigging (TOP) - OPTION,Half Tower Option WITH STARLINK,GG Schmitt,GG Schmitt,OPTION,helm seat/ radar,1,"$1,075.00","$1,075.00"
"SEAT, AL WIDE UPPER HELM SEAT W/STARLINK MOUNT PC GLOSS BLACK",BLACK,GG05050BLK,Final Rigging (TOP) - OPTION,Half Tower Option WITH STARLINK,GG Schmitt,GG Schmitt,OPTION,helm seat/ radar,1,"$1,175.00","$1,175.00"
"SEAT, AL WIDE UPPER HELM SEAT W/STARLINK MOUNT PC TEXT WHITE",TEX WHITE,GG05050TWHT,Final Rigging (TOP) - OPTION,Half Tower Option WITH STARLINK,GG Schmitt,GG Schmitt,OPTION,helm seat/ radar,1,"$1,075.00","$1,075.00"
"SEAT, AL WIDE UPPER HELM SEAT W/STARLINK MOUNT PC TEXT BLACK",TEX BLACK,GG05050TBLK,Final Rigging (TOP) - OPTION,Half Tower Option WITH STARLINK,GG Schmitt,GG Schmitt,OPTION,helm seat/ radar,1,"$1,075.00","$1,075.00"
"ROD HOLDER, AL KING FISH MATTERHORN WHITE",WHITE,GG03360WHT,Final Rigging (TOP) - OPTION,Stand alone Option,GG Schmitt,GG Schmitt,OPTION,king fish rod holder,2,$125.00,$250.00
"ROD HOLDER, AL KING FISH GLOSS BLACK",BLACK,GG03360BLK,Final Rigging (TOP) - OPTION,Stand alone Option,GG Schmitt,GG Schmitt,OPTION,king fish rod holder,2,$125.00,$250.00
"ROD HOLDER, AL KING FISH TEXT WHITE",TEX WHITE,GG03360TWHT,Final Rigging (TOP) - OPTION,Stand alone Option,GG Schmitt,GG Schmitt,OPTION,king fish rod holder,2,$125.00,$250.00
"ROD HOLDER, AL KING FISH TEXT BLACK",TEX BLACK,GG03360TBLK,Final Rigging (TOP) - OPTION,Stand alone Option,GG Schmitt,GG Schmitt,OPTION,king fish rod holder,2,$125.00,$250.00
"Utility Grommet / Rod Grommet - 2-3/4"" OD",WHITE,UG-2-FW,Final Rigging (TOP),"these are for the rod holder holes only on a full hardtop 1 on bottom and 1 on top per hole (6 holes- 12 total)
color dependent",TH Marine,William F. Miller,STANDARD,,12,$2.11,$25.32
"Utility Grommet / Rod Grommet - 2-3/4"" OD",BLACK,UG-2-DP,Final Rigging (TOP),"these are for the rod holder holes only on a full hardtop 1 on bottom and 1 on top per hole (6 holes- 12 total)
color dependent",TH Marine,William F. Miller,STANDARD,,12,$2.11,$25.32
Starlink - Mini Kit,,2535001,Final Rigging (TOP) - OPTION,Use Seaview mount to attach to the hardtop,Starlink,West Marine,OPTION,starlink,1,$499.00,$499.00
Starlink Surface Mount for Starlink Mini,,21243860 ,Final Rigging (TOP) - OPTION,Goes Directly on the Hardtop,Seaview,West Marine,OPTION,starlink,1,$168.00,$168.00
Starlink - High Performance Kit,,21050968 ,Final Rigging (BOAT) - OPTION,goes on the Wide Upper Helm Seat w/ Starlink Mount and we put the router and power supply in the console - New HPK has DC power supply,Starlink,West Marine,OPTION,starlink,1,"$1,999.00","$1,999.00"
Cable Gland - Medium,,540732,Final Rigging (TOP) - OPTION,w/ Starlink - Both Mini and High Performance,West Marine ,West Marine ,OPTION,starlink,1,$20.86,$20.86
"RAIL, AL BOW COAMING 26 OPEN MATTERHORN WHITE",WHITE,GG03381WHT,Final Rigging (BOAT),Bowrail on 26 Open,GG Schmitt,GG Schmitt,STANDARD,,1,$767.37,$767.37
"RAIL, AL BOW COAMING 26 OPEN GLOSS BLACK",BLACK,GG03381BLK,Final Rigging (BOAT),Bowrail on 26 Open,GG Schmitt,GG Schmitt,STANDARD,,1,$778.16,$778.16
"RAIL, AL BOW COAMING 26 OPEN TEXT WHITE",TEX WHITE,GG03381TWHT,Final Rigging (BOAT),Bowrail on 26 Open,GG Schmitt,GG Schmitt,STANDARD,,1,$904.70,$904.70
"RAIL, AL BOW COAMING 26 OPEN TEXT BLACK",TEX BLACK,GG03381TBLK,Final Rigging (BOAT),Bowrail on 26 Open,GG Schmitt,GG Schmitt,STANDARD,,1,$858.00,$858.00
Hull  ID Plate,,,Final Rigging (BOAT),,Crown Trophy,Crown Trophy,STANDARD,,1,$15.00,$15.00
Under Gunnel Three Place Rod Holder,WHITE,20152-307304,Final Rigging (BOAT),"1 goes on port
1 goes on stbd
both go over the seadeck on the liner wall that has the barker logo
color dependent",Teak Isle,Teak Isle,STANDARD,,2,$105.38,$210.76
Under Gunnel Three Place Rod Holder,WHITE,20152-307304,Final Rigging (BOAT) - OPTION,"W / Aux Tank
this will go on the port side forward of the other one as there is no grommmets and 1 rod holder would be useless
color dependent",Teak Isle,Teak Isle,OPTION,aux fuel,1,$105.38,$105.38
Under Gunnel Three Place Rod Holder,BLACK,20152-332655,Final Rigging (BOAT),"1 goes on port
1 goes on stbd
both go over the seadeck on the liner wall that has the barker logo
color dependent",Teak Isle,Teak Isle,STANDARD,,2,$105.38,$210.76
Under Gunnel Three Place Rod Holder,BLACK,20152-332655,Final Rigging (BOAT) - OPTION,"W / Aux Tank
this will go on the port side forward of the other one as there is no grommmets and 1 rod holder would be useless
color dependent",Teak Isle,Teak Isle,OPTION,aux fuel,1,$105.38,$105.38
"Utility Grommet / Rod Grommet - 2-3/4"" OD",WHITE,UG-2-FW,Final Rigging (BOAT),"2 go on the inside of the port rod locker
2 go on the outside of the port rod locker under the deck
2 go on the inside of the sbd rod locker
2 go on the outside of the stbd rod locker under the deck
color dependent",William F. Miller,William F. Miller,STANDARD,,8,$2.11,$16.88
"Utility Grommet / Rod Grommet - 2-3/4"" OD",BLACK,UG-2-DP,Final Rigging (BOAT),"2 go on the inside of the port rod locker
2 go on the outside of the port rod locker under the deck
2 go on the inside of the sbd rod locker
2 go on the outside of the stbd rod locker under the deck
color dependent",William F. Miller,William F. Miller,STANDARD,,8,$2.11,$16.88
"Adapter - 1/2"" Hose Barb x 3/8"" MPT",,5346K23,Final Rigging (BOAT),"
1 goes in the fuel shut off and connects the hose to the engine
1 goes in the inlet of the fuel water seperator",Mc-Master Carr,Mc-Master Carr,STANDARD,,2,$2.65,$5.30
Hose Clamp #6,,HF06SS,Final Rigging (BOAT),"Fuel Shut Off
1 goes on the fuel in
1 goes on the fuel out to the engine
1 for engine",Florida Industrial Supplies,Florida Industrial Supplies,STANDARD,,3,$0.56,$1.68
"Ball Valve - 3/8"", SS",,MV608-6,Final Rigging (BOAT),"Fuel Shut Off
goes into the fuel water seperator",Goodyear,Goodyear,STANDARD,,1,$25.07,$25.07
"Ball Valve - 3/8"", SS",,MV608-6,Final Rigging (BOAT) - OPTION,"Fuel Shut Off
W / Aux Tank or bladder
goes into the other inlet on the fuel water seperator",Goodyear,Goodyear,OPTION,aux fuel,1,$25.07,$25.07
Hose Clamp #6,,HF06SS,Final Rigging (BOAT),w/ aux or bladder,Florida Industrial Supplies,Florida Industrial Supplies,OPTION,aux fuel,1,$0.56,$0.56
"Adapter - 1/2"" Hose Barb x 3/8"" MPT",,5346K23,Final Rigging (BOAT),w/ aux or bladder,Mc-Master Carr,Mc-Master Carr,OPTION,aux fuel,1,$2.65,$2.65
male npt tee 3/8,brass,,,"w/ aux and bladdder
goes into fw seperator and the t faces down",,,OPTION,aux fuel,1,,
"Ball Valve - 3/8"", SS",,MV608-6,Final Rigging (BOAT) - OPTION,"Fuel Shut Off
W / Aux Tank or bladder
goes into the other inlet on the fuel water seperator",Goodyear,Goodyear,OPTION,aux fuel,2,$25.07,$50.14
Hose Clamp #6,,HF06SS,Final Rigging (BOAT),w/ aux AND bladder,Florida Industrial Supplies,Florida Industrial Supplies,OPTION,aux fuel,2,$0.56,$1.12
"Adapter - 1/2"" Hose Barb x 3/8"" MPT",,5346K23,Final Rigging (BOAT),w/ aux AND bladder,Mc-Master Carr,Mc-Master Carr,OPTION,aux fuel,2,$2.65,$5.30
3/8 fpt x 3/8 mpt 90,,,,w/ aux AND bladder,Parker,Parker,OPTION,aux fuel,1,TBD,
Upholstery - OPEN / BAY AFT SEAT SET,,9780200,Final Rigging (BOAT),,PPI,PPI,STANDARD,,1,"$1,345.00","$1,345.00"
Upholstery - COAMING SET (5 PIECE),,9780600,Final Rigging (BOAT) - OPTION,coming bolsters that go around the deck cap,PPI,PPI,OPTION,upholstrey,1,"$1,575.00","$1,575.00"
Upholstery - Double Helm Seat (2 Panels),,9781500,Final Rigging (BOAT) - OPTION,,PPI,PPI,OPTION,upholstrey,1,"$3,304.00","$3,304.00"
Upholstery - OPEN / BAY TOWER SET,,9781600,Final Rigging (BOAT) - OPTION,,PPI,PPI,OPTION,upholstrey,1,"$1,516.00","$1,516.00"
Upholstery - BOW CUSHION SET (5 PIECE),,9781300,Final Rigging (BOAT) - OPTION,,PPI,PPI,OPTION,upholstrey,1,"$2,719.00","$2,719.00"
Upholstery - BOW FILLER CUSHION,,9783100,Final Rigging (BOAT) - OPTION,Center Filler Option,PPI,PPI,OPTION,upholstrey,1,"$1,117.00","$1,117.00"
Upholstery - BOW FFB W / FOLDING ARMS,,9781400,Final Rigging (BOAT) - OPTION,,PPI,PPI,OPTION,upholstrey,1,"$1,404.00","$1,404.00"
Release Marine Jump Seats / Fwd Seating Backrest,,,Final Rigging (BOAT) - OPTION,,Release Marine ,Release Marine ,OPTION,upholstrey,1,"$3,683.40","$3,683.40"
Back Supports For Forward Seating,,GG02867P,Final Rigging (BOAT) - OPTION,Fwd Seating Backrest,GG Schmitt / PPI,GG Schmitt / PPI,OPTION,fwd seat backret,4,$67.24,$268.96
"Sockets - Backrest, Forward Seating",,672-631,Final Rigging (BOAT) - OPTION,Fwd Seating Backrest,GG Schmitt,GG Schmitt,OPTION,fwd seat backret,4,$20.48,$81.92
"Jackplate - 10"" Extreme Gen2 Action",WHITE,100-610005 (W),Final Rigging (BOAT),"jackplate for single engine goes on set back of hull
color dependent",Bob's Machine Shop,Bob's Machine Shop,STANDARD,,1,"$1,375.00","$1,375.00"
"Jackplate - 10"" Extreme Gen2 Action",BLACK,100-610005 (B),Final Rigging (BOAT),"jackplate for single engine goes on set back of hull
color dependent",Bob's Machine Shop,Bob's Machine Shop,STANDARD,,1,"$1,350.00","$1,350.00"
"Large Backing Plate Set, 4-1/2""",,110-200500,Final Rigging (BOAT),the large upper backing plate goes inside transom area of bilge,Bob's Machine Shop,Bob's Machine Shop,STANDARD,,1,$50.00,$50.00
"Transom Wedge Set, 5* Pair",WHITE,319-200001,Final Rigging (BOAT),"these go between the JP and the engine
color dependent",Bob's Machine Shop,Bob's Machine Shop,STANDARD,,1,$100.00,$100.00
"Transom Wedge Set, 5* Pair",BLACK,319-200000,Final Rigging (BOAT),"these go between the JP and the engine
color dependent",Bob's Machine Shop,Bob's Machine Shop,STANDARD,,1,$100.00,$100.00
"Antenna Cable Connector / Outlet, Shakespear 4184",,SHA-4184,Final Rigging (BOAT),"W / Jackplate
the grommet we run the JP wires thru
goes behidn the JP",CWR Distribution,CWR Distribution,STANDARD,,1,$7.17,$7.17
Jackplate - Custom Dual,WHITE,100-106014,Final Rigging (BOAT) - OPTION,W / Twin Engine,Bob's Machine Shop,Bob's Machine Shop,OPTION,dual engine,1,"$5,000.00","$5,000.00"
"Bulkhead Fitting - 4""",SS,120-520001,Final Rigging (BOAT) - OPTION,W / Twin Engine,Bob's Machine Shop,Bob's Machine Shop,OPTION,dual engine,4,$15.00,$60.00
90* Adapter - Jackplate Fitting,SS,600-551804,Final Rigging (BOAT) - OPTION,W / Twin Engine,Bob's Machine Shop,Bob's Machine Shop,OPTION,dual engine,12,$9.99,$119.88
Fitting - Cylinder SS,SS,630-104000,Final Rigging (BOAT) - OPTION,W / Twin Engine,Bob's Machine Shop,Bob's Machine Shop,OPTION,dual engine,4,$9.95,$39.80
"Hydraulic Hose - 12""",,,Final Rigging (BOAT) - OPTION,W / Twin Engine,Goodyear,Goodyear,OPTION,dual engine,2,$116.19,$232.38
"Hydraulic Hose - 20-1/2""",,,Final Rigging (BOAT) - OPTION,W / Twin Engine,Goodyear,Goodyear,OPTION,dual engine,2,$124.11,$248.22
